epoch,accuracy,loss,val_accuracy,val_loss
0,0.6938449740409851,0.8120067417621613,0.40930500626564026,710.7958984375
1,0.8516566753387451,0.4239288990696271,0.55663001537323,547.3790283203125
2,0.9177625179290771,0.27476538469394046,0.5527549982070923,796.128173828125
3,0.9279958605766296,0.2493148942788442,0.565464973449707,908.0234375
4,0.9304916858673096,0.2352697973450025,0.5450649857521057,976.689208984375
5,0.9319450259208679,0.21788521111011505,0.547760009765625,818.7611083984375
6,0.9353600144386292,0.21295260141293207,0.5446199774742126,915.2073364257812
7,0.9302433133125305,0.21831140170494714,0.5216299891471863,1152.3543701171875
8,0.9330366849899292,0.2099221684038639,0.531719982624054,988.192626953125
9,0.9456225037574768,0.1781499112645785,0.5570150017738342,880.7291259765625
